OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
598,25,Rest Area WB,SR 146,4.8,Uxbridge,Worcester,MA,42.06254,-71.654034,16,-71.6540340003242,42.0625399997626
599,25,Rest Area WB,I-84,4.4,Sturbridge,Worcester,MA,42.082817,-72.098399,15,-72.0983990000875,42.0828170000184
600,25,Service Plaza EB,I-90,80.39,Charlton,Worcester,MA,42.139478,-72.026646,13,-72.0266460002931,42.1394779997588
601,25,Service Plaza WB,I-90,83.78,Charlton,Worcester,MA,42.156727,-71.962568,20,-71.9625679996737,42.1567270002438
602,25,Rest Area SB,I-95,NA,Westwood,Norfold,MA,42.217546,-71.158484,5,-71.1584839999883,42.217545999874
603,25,Service Plaza WB,I-90,104.8,Westborough,Worcester,MA,42.246187,-71.590739,38,-71.5907390000525,42.2461869998436
604,25,Service Plaza EB,I-90,117.63,Natick,Middlesex,MA,42.311769,-71.365329,6,-71.3653290002296,42.3117690000289
605,25,Service Plaza WB,I-90,114.28,Framingham,Middlesex,MA,42.31266,-71.428422,12,-71.4284219999366,42.3126600003087
606,25,Rest Area WB,SR 2,103,Lancaster,Worcester,MA,42.521436,-71.701348,8,-71.7013480004374,42.521436000083
607,25,Rest Area NB,I-495,87,Chelmsford,Middlesex,MA,42.596018,-71.368241,12,-71.3682409997159,42.5960179999327
608,25,Rest Area SB,I-495,87,Chelmsford,Middlesex,MA,42.596834,-71.369097,12,-71.3690969998585,42.5968340000689
609,25,Rest Area SB,I-495,114,Merrimac,Essex,MA,42.823349,-71.013087,7,-71.0130870000141,42.8233490003002
610,25,Service Plaza SB,I-95,0.2,Salisbury,Essex,MA,42.879745,-70.884693,24,-70.8846930000223,42.8797450001677
611,24,NHS Rest Stop or Truck Facility 6,US 13,1,At stateline,Worcester,MD,38.004763,-75.543199,14,-75.5431990002252,38.0047630001537
612,24,NHS Rest Stop or Truck Facility 20,US 50,98,Vienna,Dorchester,MD,38.471432,-75.797467,12,-75.7974670003597,38.4714320002434
613,24,NHS Rest Stop or Truck Facility 24,US 301,16,Upper Marlboro,Prince George's,MD,38.84549,-76.72665,10,-76.726650000236,38.8454900000073
614,24,NHS Rest Stop or Truck Facility 19,I-95/I-495,27,College Park,Prince George's,MD,39.017917,-76.952426,18,-76.9524259997569,39.0179169997062
615,24,NHS Rest Stop or Truck Facility 7,US 301,96,Near Price,Queen Anne's,MD,39.079641,-75.97784,25,-75.9778400002442,39.0796409997804
616,24,NHS Rest Stop or Truck Facility 3,I-95 S,37,Savage,Howard,MD,39.140929,-76.84546,46,-76.8454600002257,39.1409289999188
617,24,NHS Rest Stop or Truck Facility 2,I-95 N,37,Savage,Howard,MD,39.145424,-76.845935,21,-76.8459349997036,39.1454240002158
618,24,NHS Rest Stop or Truck Facility 16,I-270 N,21,Hyattstown,Montgomery,MD,39.262962,-77.309718,12,-77.3097179997164,39.2629619999127
619,24,NHS Rest Stop or Truck Facility 17,I-270 S,21,Hyattstown,Montgomery,MD,39.262962,-77.309718,12,-77.3097179997164,39.2629619999127
